,lat,lng,state,max_product
RR,-24.793607,-60.673,RR,sports_leisure
AP,0.086025,-51.234,AP,computers_accessories
AM,-3.349336,-60.537,AM,health_beauty
AC,-9.702555,-68.452,AC,furniture_decor
TO,-9.5037,-48.349,TO,health_beauty
RN,-5.856702,-35.99,RN,health_beauty
RO,-10.341289,-62.721,RO,health_beauty
PI,-5.754989,-42.51,PI,health_beauty
SE,-10.866199,-37.181,SE,health_beauty
PB,-7.088298,     -35.822  ,PB,health_beauty
AL,-9.599729,-36.052,AL,health_beauty
MA,-3.798997,-44.819,MA,health_beauty
MS,-20.765006,-54.532,MS,sports_leisure
CE,-4.363151,-39.004,CE,health_beauty
PA,-2.631213,-49.486,PA,health_beauty
DF,-15.810885,-47.97,DF,health_beauty
PE,-8.179098,-35.759,PE,health_beauty
MT,-14.156482,-55.709,MT,health_beauty
GO,-16.577645,-49.334,GO,bed_bath_table
ES,-20.105145  ,-40.503,ES,bed_bath_table
BA,-13.049361,-39.561,BA,health_beauty
SC,-27.222486,-49.618,SC,sports_leisure
PR,-24.793607,-50.88,PR,furniture_decor
RS,-29.679191,-52.033,RS,bed_bath_table
MG,-19.864647,-44.422,MG,bed_bath_table
SP,-23.155308  ,-47.084,SP,bed_bath_table
RJ,-22.743477,-43.156,RJ,bed_bath_table
